,aqi,arithmetic_mean,cbsa,cbsa_code,city,county,county_code,date_local,date_of_last_change,datum,event_type,first_max_hour,first_max_value,latitude,local_site_name,longitude,method,method_code,observation_count,observation_percent,parameter,parameter_code,poc,pollutant_standard,sample_duration,site_address,site_number,state,state_code,units_of_measure,validity_indicator
0,13,4.291304,"Sacramento--Roseville--Arden-Arcade, CA",40900,Sacramento,Sacramento,067,2020-05-01,2020-08-25,NAD83,None,5,14.6,38.56844,Sacramento-1309 T Street,-121.49311,INSTRUMENTAL - CHEMILUMINESCENCE,074,23,96.0,Nitrogen dioxide (NO2),42602,1,NO2 Annual 1971,1 HOUR,"1309 T ST., SACRAMENTO, CA. 95814",0010,California,06,Parts per billion,Y
1,13,4.291304,"Sacramento--Roseville--Arden-Arcade, CA",40900,Sacramento,Sacramento,067,2020-05-01,2020-08-25,NAD83,None,5,14.6,38.56844,Sacramento-1309 T Street,-121.49311,INSTRUMENTAL - CHEMILUMINESCENCE,074,23,96.0,Nitrogen dioxide (NO2),42602,1,NO2 1-hour,1 HOUR,"1309 T ST., SACRAMENTO, CA. 95814",0010,California,06,Parts per billion,Y
2,1,1.452174,"Sacramento--Roseville--Arden-Arcade, CA",40900,Sacramento,Sacramento,067,2020-05-02,2020-08-25,NAD83,None,17,1.9,38.56844,Sacramento-1309 T Street,-121.49311,INSTRUMENTAL - CHEMILUMINESCENCE,074,23,96.0,Nitrogen dioxide (NO2),42602,1,NO2 Annual 1971,1 HOUR,"1309 T ST., SACRAMENTO, CA. 95814",0010,California,06,Parts per billion,Y
3,1,1.452174,"Sacramento--Roseville--Arden-Arcade, CA",40900,Sacramento,Sacramento,067,2020-05-02,2020-08-25,NAD83,None,17,1.9,38.56844,Sacramento-1309 T Street,-121.49311,INSTRUMENTAL - CHEMILUMINESCENCE,074,23,96.0,Nitrogen dioxide (NO2),42602,1,NO2 1-hour,1 HOUR,"1309 T ST., SACRAMENTO, CA. 95814",0010,California,06,Parts per billion,Y
4,5,2.2,"Sacramento--Roseville--Arden-Arcade, CA",40900,Sacramento,Sacramento,067,2020-05-03,2020-08-25,NAD83,None,6,5.0,38.56844,Sacramento-1309 T Street,-121.49311,INSTRUMENTAL - CHEMILUMINESCENCE,074,23,96.0,Nitrogen dioxide (NO2),42602,1,NO2 Annual 1971,1 HOUR,"1309 T ST., SACRAMENTO, CA. 95814",0010,California,06,Parts per billion,Y
5,5,2.2,"Sacramento--Roseville--Arden-Arcade, CA",40900,Sacramento,Sacramento,067,2020-05-03,2020-08-25,NAD83,None,6,5.0,38.56844,Sacramento-1309 T Street,-121.49311,INSTRUMENTAL - CHEMILUMINESCENCE,074,23,96.0,Nitrogen dioxide (NO2),42602,1,NO2 1-hour,1 HOUR,"1309 T ST., SACRAMENTO, CA. 95814",0010,California,06,Parts per billion,Y
6,11,4.954545,"Sacramento--Roseville--Arden-Arcade, CA",40900,Sacramento,Sacramento,067,2020-05-04,2020-08-25,NAD83,None,5,12.7,38.56844,Sacramento-1309 T Street,-121.49311,INSTRUMENTAL - CHEMILUMINESCENCE,074,22,92.0,Nitrogen dioxide (NO2),42602,1,NO2 Annual 1971,1 HOUR,"1309 T ST., SACRAMENTO, CA. 95814",0010,California,06,Parts per billion,Y
7,11,4.954545,"Sacramento--Roseville--Arden-Arcade, CA",40900,Sacramento,Sacramento,067,2020-05-04,2020-08-25,NAD83,None,5,12.7,38.56844,Sacramento-1309 T Street,-121.49311,INSTRUMENTAL - CHEMILUMINESCENCE,074,22,92.0,Nitrogen dioxide (NO2),42602,1,NO2 1-hour,1 HOUR,"1309 T ST., SACRAMENTO, CA. 95814",0010,California,06,Parts per billion,Y
8,16,4.191304,"Sacramento--Roseville--Arden-Arcade, CA",40900,Sacramento,Sacramento,067,2020-05-05,2020-08-25,NAD83,None,5,17.1,38.56844,Sacramento-1309 T Street,-121.49311,INSTRUMENTAL - CHEMILUMINESCENCE,074,23,96.0,Nitrogen dioxide (NO2),42602,1,NO2 Annual 1971,1 HOUR,"1309 T ST., SACRAMENTO, CA. 95814",0010,California,06,Parts per billion,Y
9,16,4.191304,"Sacramento--Roseville--Arden-Arcade, CA",40900,Sacramento,Sacramento,067,2020-05-05,2020-08-25,NAD83,None,5,17.1,38.56844,Sacramento-1309 T Street,-121.49311,INSTRUMENTAL - CHEMILUMINESCENCE,074,23,96.0,Nitrogen dioxide (NO2),42602,1,NO2 1-hour,1 HOUR,"1309 T ST., SACRAMENTO, CA. 95814",0010,California,06,Parts per billion,Y
10,8,3.469565,"Sacramento--Roseville--Arden-Arcade, CA",40900,Sacramento,Sacramento,067,2020-05-06,2020-08-25,NAD83,None,5,9.3,38.56844,Sacramento-1309 T Street,-121.49311,INSTRUMENTAL - CHEMILUMINESCENCE,074,23,96.0,Nitrogen dioxide (NO2),42602,1,NO2 Annual 1971,1 HOUR,"1309 T ST., SACRAMENTO, CA. 95814",0010,California,06,Parts per billion,Y
11,8,3.469565,"Sacramento--Roseville--Arden-Arcade, CA",40900,Sacramento,Sacramento,067,2020-05-06,2020-08-25,NAD83,None,5,9.3,38.56844,Sacramento-1309 T Street,-121.49311,INSTRUMENTAL - CHEMILUMINESCENCE,074,23,96.0,Nitrogen dioxide (NO2),42602,1,NO2 1-hour,1 HOUR,"1309 T ST., SACRAMENTO, CA. 95814",0010,California,06,Parts per billion,Y
12,16,5.965217,"Sacramento--Roseville--Arden-Arcade, CA",40900,Sacramento,Sacramento,067,2020-05-07,2020-08-25,NAD83,None,19,17.6,38.56844,Sacramento-1309 T Street,-121.49311,INSTRUMENTAL - CHEMILUMINESCENCE,074,23,96.0,Nitrogen dioxide (NO2),42602,1,NO2 Annual 1971,1 HOUR,"1309 T ST., SACRAMENTO, CA. 95814",0010,California,06,Parts per billion,Y
13,16,5.965217,"Sacramento--Roseville--Arden-Arcade, CA",40900,Sacramento,Sacramento,067,2020-05-07,2020-08-25,NAD83,None,19,17.6,38.56844,Sacramento-1309 T Street,-121.49311,INSTRUMENTAL - CHEMILUMINESCENCE,074,23,96.0,Nitrogen dioxide (NO2),42602,1,NO2 1-hour,1 HOUR,"1309 T ST., SACRAMENTO, CA. 95814",0010,California,06,Parts per billion,Y
14,27,9.843478,"Sacramento--Roseville--Arden-Arcade, CA",40900,Sacramento,Sacramento,067,2020-05-08,2020-08-25,NAD83,None,19,29.6,38.56844,Sacramento-1309 T Street,-121.49311,INSTRUMENTAL - CHEMILUMINESCENCE,074,23,96.0,Nitrogen dioxide (NO2),42602,1,NO2 Annual 1971,1 HOUR,"1309 T ST., SACRAMENTO, CA. 95814",0010,California,06,Parts per billion,Y
