,aqi,arithmetic_mean,cbsa,cbsa_code,city,county,county_code,date_local,date_of_last_change,datum,event_type,first_max_hour,first_max_value,latitude,local_site_name,longitude,method,method_code,observation_count,observation_percent,parameter,parameter_code,poc,pollutant_standard,sample_duration,site_address,site_number,state,state_code,units_of_measure,validity_indicator
0,,0.187091,"San Jose-Sunnyvale-Santa Clara, CA",41940,San Jose,Santa Clara,085,2020-05-01,2020-07-30,WGS84,None,6,0.403,37.348497,San Jose - Jackson,-121.894898,INSTRUMENTAL - Gas Filter Correlation Thermo Electron 48i-TLE,554,22,92.0,Carbon monoxide,42101,1,CO 1-hour 1971,1 HOUR,158B JACKSON ST,0005,California,06,Parts per million,Y
1,3.0,0.223529,"San Jose-Sunnyvale-Santa Clara, CA",41940,San Jose,Santa Clara,085,2020-05-01,2020-07-30,WGS84,None,7,0.3,37.348497,San Jose - Jackson,-121.894898,INSTRUMENTAL - Gas Filter Correlation Thermo Electron 48i-TLE,554,17,71.0,Carbon monoxide,42101,1,CO 8-hour 1971,8-HR RUN AVG END HOUR,158B JACKSON ST,0005,California,06,Parts per million,Y
2,,0.151955,"San Jose-Sunnyvale-Santa Clara, CA",41940,San Jose,Santa Clara,085,2020-05-02,2020-07-30,WGS84,None,6,0.19,37.348497,San Jose - Jackson,-121.894898,INSTRUMENTAL - Gas Filter Correlation Thermo Electron 48i-TLE,554,22,92.0,Carbon monoxide,42101,1,CO 1-hour 1971,1 HOUR,158B JACKSON ST,0005,California,06,Parts per million,Y
3,2.0,0.154167,"San Jose-Sunnyvale-Santa Clara, CA",41940,San Jose,Santa Clara,085,2020-05-02,2020-07-30,WGS84,None,0,0.2,37.348497,San Jose - Jackson,-121.894898,INSTRUMENTAL - Gas Filter Correlation Thermo Electron 48i-TLE,554,24,100.0,Carbon monoxide,42101,1,CO 8-hour 1971,8-HR RUN AVG END HOUR,158B JACKSON ST,0005,California,06,Parts per million,Y
4,,0.157727,"San Jose-Sunnyvale-Santa Clara, CA",41940,San Jose,Santa Clara,085,2020-05-03,2020-07-30,WGS84,None,23,0.275,37.348497,San Jose - Jackson,-121.894898,INSTRUMENTAL - Gas Filter Correlation Thermo Electron 48i-TLE,554,22,92.0,Carbon monoxide,42101,1,CO 1-hour 1971,1 HOUR,158B JACKSON ST,0005,California,06,Parts per million,Y
5,2.0,0.1125,"San Jose-Sunnyvale-Santa Clara, CA",41940,San Jose,Santa Clara,085,2020-05-03,2020-07-30,WGS84,None,21,0.2,37.348497,San Jose - Jackson,-121.894898,INSTRUMENTAL - Gas Filter Correlation Thermo Electron 48i-TLE,554,24,100.0,Carbon monoxide,42101,1,CO 8-hour 1971,8-HR RUN AVG END HOUR,158B JACKSON ST,0005,California,06,Parts per million,Y
6,,0.225105,"San Jose-Sunnyvale-Santa Clara, CA",41940,San Jose,Santa Clara,085,2020-05-04,2020-07-30,WGS84,None,6,0.434,37.348497,San Jose - Jackson,-121.894898,INSTRUMENTAL - Gas Filter Correlation Thermo Electron 48i-TLE,554,19,79.0,Carbon monoxide,42101,1,CO 1-hour 1971,1 HOUR,158B JACKSON ST,0005,California,06,Parts per million,Y
7,3.0,0.244444,"San Jose-Sunnyvale-Santa Clara, CA",41940,San Jose,Santa Clara,085,2020-05-04,2020-07-30,WGS84,None,4,0.3,37.348497,San Jose - Jackson,-121.894898,INSTRUMENTAL - Gas Filter Correlation Thermo Electron 48i-TLE,554,18,75.0,Carbon monoxide,42101,1,CO 8-hour 1971,8-HR RUN AVG END HOUR,158B JACKSON ST,0005,California,06,Parts per million,Y
8,,0.19745,"San Jose-Sunnyvale-Santa Clara, CA",41940,San Jose,Santa Clara,085,2020-05-05,2020-07-30,WGS84,None,5,0.426,37.348497,San Jose - Jackson,-121.894898,INSTRUMENTAL - Gas Filter Correlation Thermo Electron 48i-TLE,554,20,83.0,Carbon monoxide,42101,1,CO 1-hour 1971,1 HOUR,158B JACKSON ST,0005,California,06,Parts per million,Y
9,3.0,0.205263,"San Jose-Sunnyvale-Santa Clara, CA",41940,San Jose,Santa Clara,085,2020-05-05,2020-07-30,WGS84,None,5,0.3,37.348497,San Jose - Jackson,-121.894898,INSTRUMENTAL - Gas Filter Correlation Thermo Electron 48i-TLE,554,19,79.0,Carbon monoxide,42101,1,CO 8-hour 1971,8-HR RUN AVG END HOUR,158B JACKSON ST,0005,California,06,Parts per million,Y
10,,0.187316,"San Jose-Sunnyvale-Santa Clara, CA",41940,San Jose,Santa Clara,085,2020-05-06,2020-07-30,WGS84,None,5,0.313,37.348497,San Jose - Jackson,-121.894898,INSTRUMENTAL - Gas Filter Correlation Thermo Electron 48i-TLE,554,19,79.0,Carbon monoxide,42101,1,CO 1-hour 1971,1 HOUR,158B JACKSON ST,0005,California,06,Parts per million,Y
