,aqi,arithmetic_mean,cbsa,cbsa_code,city,county,county_code,date_local,date_of_last_change,datum,event_type,first_max_hour,first_max_value,latitude,local_site_name,longitude,method,method_code,observation_count,observation_percent,parameter,parameter_code,poc,pollutant_standard,sample_duration,site_address,site_number,state,state_code,units_of_measure,validity_indicator
0,,4.083333,"San Jose-Sunnyvale-Santa Clara, CA",41940,San Jose,Santa Clara,085,2020-05-01,2020-07-30,WGS84,None,9,10.0,37.348497,San Jose - Jackson,-121.894898,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,170,24,100.0,PM2.5 - Local Conditions,88101,3,,1 HOUR,158B JACKSON ST,0005,California,06,Micrograms/cubic meter (LC),Y
1,17.0,4.0,"San Jose-Sunnyvale-Santa Clara, CA",41940,San Jose,Santa Clara,085,2020-05-01,2020-07-30,WGS84,None,0,4.0,37.348497,San Jose - Jackson,-121.894898,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,170,1,100.0,PM2.5 - Local Conditions,88101,3,PM25 24-hour 2006,24-HR BLK AVG,158B JACKSON ST,0005,California,06,Micrograms/cubic meter (LC),Y
2,17.0,4.0,"San Jose-Sunnyvale-Santa Clara, CA",41940,San Jose,Santa Clara,085,2020-05-01,2020-07-30,WGS84,None,0,4.0,37.348497,San Jose - Jackson,-121.894898,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,170,1,100.0,PM2.5 - Local Conditions,88101,3,PM25 Annual 2006,24-HR BLK AVG,158B JACKSON ST,0005,California,06,Micrograms/cubic meter (LC),Y
3,17.0,4.0,"San Jose-Sunnyvale-Santa Clara, CA",41940,San Jose,Santa Clara,085,2020-05-01,2020-07-30,WGS84,None,0,4.0,37.348497,San Jose - Jackson,-121.894898,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,170,1,100.0,PM2.5 - Local Conditions,88101,3,PM25 24-hour 2012,24-HR BLK AVG,158B JACKSON ST,0005,California,06,Micrograms/cubic meter (LC),Y
4,17.0,4.0,"San Jose-Sunnyvale-Santa Clara, CA",41940,San Jose,Santa Clara,085,2020-05-01,2020-07-30,WGS84,None,0,4.0,37.348497,San Jose - Jackson,-121.894898,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,170,1,100.0,PM2.5 - Local Conditions,88101,3,PM25 Annual 2012,24-HR BLK AVG,158B JACKSON ST,0005,California,06,Micrograms/cubic meter (LC),Y
5,,3.375,"San Jose-Sunnyvale-Santa Clara, CA",41940,San Jose,Santa Clara,085,2020-05-02,2020-07-30,WGS84,None,10,6.0,37.348497,San Jose - Jackson,-121.894898,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,170,24,100.0,PM2.5 - Local Conditions,88101,3,,1 HOUR,158B JACKSON ST,0005,California,06,Micrograms/cubic meter (LC),Y
6,14.0,3.3,"San Jose-Sunnyvale-Santa Clara, CA",41940,San Jose,Santa Clara,085,2020-05-02,2020-07-30,WGS84,None,0,3.3,37.348497,San Jose - Jackson,-121.894898,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,170,1,100.0,PM2.5 - Local Conditions,88101,3,PM25 24-hour 2006,24-HR BLK AVG,158B JACKSON ST,0005,California,06,Micrograms/cubic meter (LC),Y
7,14.0,3.3,"San Jose-Sunnyvale-Santa Clara, CA",41940,San Jose,Santa Clara,085,2020-05-02,2020-07-30,WGS84,None,0,3.3,37.348497,San Jose - Jackson,-121.894898,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,170,1,100.0,PM2.5 - Local Conditions,88101,3,PM25 Annual 2006,24-HR BLK AVG,158B JACKSON ST,0005,California,06,Micrograms/cubic meter (LC),Y
8,14.0,3.3,"San Jose-Sunnyvale-Santa Clara, CA",41940,San Jose,Santa Clara,085,2020-05-02,2020-07-30,WGS84,None,0,3.3,37.348497,San Jose - Jackson,-121.894898,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,170,1,100.0,PM2.5 - Local Conditions,88101,3,PM25 24-hour 2012,24-HR BLK AVG,158B JACKSON ST,0005,California,06,Micrograms/cubic meter (LC),Y
9,14.0,3.3,"San Jose-Sunnyvale-Santa Clara, CA",41940,San Jose,Santa Clara,085,2020-05-02,2020-07-30,WGS84,None,0,3.3,37.348497,San Jose - Jackson,-121.894898,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,170,1,100.0,PM2.5 - Local Conditions,88101,3,PM25 Annual 2012,24-HR BLK AVG,158B JACKSON ST,0005,California,06,Micrograms/cubic meter (LC),Y
