,aqi,arithmetic_mean,cbsa,cbsa_code,city,county,county_code,date_local,date_of_last_change,datum,event_type,first_max_hour,first_max_value,latitude,local_site_name,longitude,method,method_code,observation_count,observation_percent,parameter,parameter_code,poc,pollutant_standard,sample_duration,site_address,site_number,state,state_code,units_of_measure,validity_indicator
0,20,5.295455,"San Jose-Sunnyvale-Santa Clara, CA",41940,San Jose,Santa Clara,085,2020-05-01,2020-07-30,WGS84,None,6,21.0,37.348497,San Jose - Jackson,-121.894898,INSTRUMENTAL - CHEMILUMINESCENCE,074,22,92.0,Nitrogen dioxide (NO2),42602,1,NO2 Annual 1971,1 HOUR,158B JACKSON ST,0005,California,06,Parts per billion,Y
1,20,5.295455,"San Jose-Sunnyvale-Santa Clara, CA",41940,San Jose,Santa Clara,085,2020-05-01,2020-07-30,WGS84,None,6,21.0,37.348497,San Jose - Jackson,-121.894898,INSTRUMENTAL - CHEMILUMINESCENCE,074,22,92.0,Nitrogen dioxide (NO2),42602,1,NO2 1-hour,1 HOUR,158B JACKSON ST,0005,California,06,Parts per billion,Y
2,6,1.822727,"San Jose-Sunnyvale-Santa Clara, CA",41940,San Jose,Santa Clara,085,2020-05-02,2020-07-30,WGS84,None,5,6.0,37.348497,San Jose - Jackson,-121.894898,INSTRUMENTAL - CHEMILUMINESCENCE,074,22,92.0,Nitrogen dioxide (NO2),42602,1,NO2 Annual 1971,1 HOUR,158B JACKSON ST,0005,California,06,Parts per billion,Y
3,6,1.822727,"San Jose-Sunnyvale-Santa Clara, CA",41940,San Jose,Santa Clara,085,2020-05-02,2020-07-30,WGS84,None,5,6.0,37.348497,San Jose - Jackson,-121.894898,INSTRUMENTAL - CHEMILUMINESCENCE,074,22,92.0,Nitrogen dioxide (NO2),42602,1,NO2 1-hour,1 HOUR,158B JACKSON ST,0005,California,06,Parts per billion,Y
4,9,2.372727,"San Jose-Sunnyvale-Santa Clara, CA",41940,San Jose,Santa Clara,085,2020-05-03,2020-07-30,WGS84,None,23,10.2,37.348497,San Jose - Jackson,-121.894898,INSTRUMENTAL - CHEMILUMINESCENCE,074,22,92.0,Nitrogen dioxide (NO2),42602,1,NO2 Annual 1971,1 HOUR,158B JACKSON ST,0005,California,06,Parts per billion,Y
5,9,2.372727,"San Jose-Sunnyvale-Santa Clara, CA",41940,San Jose,Santa Clara,085,2020-05-03,2020-07-30,WGS84,None,23,10.2,37.348497,San Jose - Jackson,-121.894898,INSTRUMENTAL - CHEMILUMINESCENCE,074,22,92.0,Nitrogen dioxide (NO2),42602,1,NO2 1-hour,1 HOUR,158B JACKSON ST,0005,California,06,Parts per billion,Y
6,18,7.715789,"San Jose-Sunnyvale-Santa Clara, CA",41940,San Jose,Santa Clara,085,2020-05-04,2020-07-30,WGS84,None,6,19.3,37.348497,San Jose - Jackson,-121.894898,INSTRUMENTAL - CHEMILUMINESCENCE,074,19,79.0,Nitrogen dioxide (NO2),42602,1,NO2 Annual 1971,1 HOUR,158B JACKSON ST,0005,California,06,Parts per billion,Y
7,18,7.715789,"San Jose-Sunnyvale-Santa Clara, CA",41940,San Jose,Santa Clara,085,2020-05-04,2020-07-30,WGS84,None,6,19.3,37.348497,San Jose - Jackson,-121.894898,INSTRUMENTAL - CHEMILUMINESCENCE,074,19,79.0,Nitrogen dioxide (NO2),42602,1,NO2 1-hour,1 HOUR,158B JACKSON ST,0005,California,06,Parts per billion,Y
8,19,5.071429,"San Jose-Sunnyvale-Santa Clara, CA",41940,San Jose,Santa Clara,085,2020-05-05,2020-07-30,WGS84,None,6,20.1,37.348497,San Jose - Jackson,-121.894898,INSTRUMENTAL - CHEMILUMINESCENCE,074,21,88.0,Nitrogen dioxide (NO2),42602,1,NO2 Annual 1971,1 HOUR,158B JACKSON ST,0005,California,06,Parts per billion,Y
9,19,5.071429,"San Jose-Sunnyvale-Santa Clara, CA",41940,San Jose,Santa Clara,085,2020-05-05,2020-07-30,WGS84,None,6,20.1,37.348497,San Jose - Jackson,-121.894898,INSTRUMENTAL - CHEMILUMINESCENCE,074,21,88.0,Nitrogen dioxide (NO2),42602,1,NO2 1-hour,1 HOUR,158B JACKSON ST,0005,California,06,Parts per billion,Y
