,aqi,arithmetic_mean,cbsa,cbsa_code,city,county,county_code,date_local,date_of_last_change,datum,event_type,first_max_hour,first_max_value,latitude,local_site_name,longitude,method,method_code,observation_count,observation_percent,parameter,parameter_code,poc,pollutant_standard,sample_duration,site_address,site_number,state,state_code,units_of_measure,validity_indicator
0,26.0,28.0,"Sacramento--Roseville--Arden-Arcade, CA",40900,Arden-Arcade,Sacramento,067,2020-06-26,2020-09-23,WGS84,None,0,28.0,38.613779,Sacramento-Del Paso Manor,-121.368014,HI-VOL SA/GMW-1200 - GRAVIMETRIC,063,1,100.0,PM10 Total 0-10um STP,81102,2,PM10 24-hour 2006,24 HOUR,"DEL PASO-2701 AVALON DR, SACRAMENTO",0006,California,06,Micrograms/cubic meter (25 C),Y
1,13.0,14.0,"Sacramento--Roseville--Arden-Arcade, CA",40900,Arden-Arcade,Sacramento,067,2020-06-20,2020-09-23,WGS84,None,0,14.0,38.613779,Sacramento-Del Paso Manor,-121.368014,HI-VOL SA/GMW-1200 - GRAVIMETRIC,063,1,100.0,PM10 Total 0-10um STP,81102,2,PM10 24-hour 2006,24 HOUR,"DEL PASO-2701 AVALON DR, SACRAMENTO",0006,California,06,Micrograms/cubic meter (25 C),Y
2,6.0,7.0,"Sacramento--Roseville--Arden-Arcade, CA",40900,Arden-Arcade,Sacramento,067,2020-06-14,2020-09-23,WGS84,None,0,7.0,38.613779,Sacramento-Del Paso Manor,-121.368014,HI-VOL SA/GMW-1200 - GRAVIMETRIC,063,1,100.0,PM10 Total 0-10um STP,81102,2,PM10 24-hour 2006,24 HOUR,"DEL PASO-2701 AVALON DR, SACRAMENTO",0006,California,06,Micrograms/cubic meter (25 C),Y
3,12.0,13.0,"Sacramento--Roseville--Arden-Arcade, CA",40900,Arden-Arcade,Sacramento,067,2020-06-08,2020-09-23,WGS84,None,0,13.0,38.613779,Sacramento-Del Paso Manor,-121.368014,HI-VOL SA/GMW-1200 - GRAVIMETRIC,063,1,100.0,PM10 Total 0-10um STP,81102,2,PM10 24-hour 2006,24 HOUR,"DEL PASO-2701 AVALON DR, SACRAMENTO",0006,California,06,Micrograms/cubic meter (25 C),Y
4,18.0,19.0,"Sacramento--Roseville--Arden-Arcade, CA",40900,Arden-Arcade,Sacramento,067,2020-06-02,2020-09-23,WGS84,None,0,19.0,38.613779,Sacramento-Del Paso Manor,-121.368014,HI-VOL SA/GMW-1200 - GRAVIMETRIC,063,1,100.0,PM10 Total 0-10um STP,81102,2,PM10 24-hour 2006,24 HOUR,"DEL PASO-2701 AVALON DR, SACRAMENTO",0006,California,06,Micrograms/cubic meter (25 C),Y
5,16.0,17.0,"Sacramento--Roseville--Arden-Arcade, CA",40900,Arden-Arcade,Sacramento,067,2020-05-27,2020-09-23,WGS84,None,0,17.0,38.613779,Sacramento-Del Paso Manor,-121.368014,HI-VOL SA/GMW-1200 - GRAVIMETRIC,063,1,100.0,PM10 Total 0-10um STP,81102,2,PM10 24-hour 2006,24 HOUR,"DEL PASO-2701 AVALON DR, SACRAMENTO",0006,California,06,Micrograms/cubic meter (25 C),Y
6,19.0,21.0,"Sacramento--Roseville--Arden-Arcade, CA",40900,Arden-Arcade,Sacramento,067,2020-05-21,2020-09-23,WGS84,None,0,21.0,38.613779,Sacramento-Del Paso Manor,-121.368014,HI-VOL SA/GMW-1200 - GRAVIMETRIC,063,1,100.0,PM10 Total 0-10um STP,81102,2,PM10 24-hour 2006,24 HOUR,"DEL PASO-2701 AVALON DR, SACRAMENTO",0006,California,06,Micrograms/cubic meter (25 C),Y
7,19.0,20.0,"Sacramento--Roseville--Arden-Arcade, CA",40900,Arden-Arcade,Sacramento,067,2020-05-15,2020-09-23,WGS84,None,0,20.0,38.613779,Sacramento-Del Paso Manor,-121.368014,HI-VOL SA/GMW-1200 - GRAVIMETRIC,063,1,100.0,PM10 Total 0-10um STP,81102,2,PM10 24-hour 2006,24 HOUR,"DEL PASO-2701 AVALON DR, SACRAMENTO",0006,California,06,Micrograms/cubic meter (25 C),Y
8,16.0,17.0,"Sacramento--Roseville--Arden-Arcade, CA",40900,Arden-Arcade,Sacramento,067,2020-05-09,2020-09-23,WGS84,None,0,17.0,38.613779,Sacramento-Del Paso Manor,-121.368014,HI-VOL SA/GMW-1200 - GRAVIMETRIC,063,1,100.0,PM10 Total 0-10um STP,81102,2,PM10 24-hour 2006,24 HOUR,"DEL PASO-2701 AVALON DR, SACRAMENTO",0006,California,06,Micrograms/cubic meter (25 C),Y
9,10.0,11.0,"Sacramento--Roseville--Arden-Arcade, CA",40900,Arden-Arcade,Sacramento,067,2020-05-03,2020-09-23,WGS84,None,0,11.0,38.613779,Sacramento-Del Paso Manor,-121.368014,HI-VOL SA/GMW-1200 - GRAVIMETRIC,063,1,100.0,PM10 Total 0-10um STP,81102,2,PM10 24-hour 2006,24 HOUR,"DEL PASO-2701 AVALON DR, SACRAMENTO",0006,California,06,Micrograms/cubic meter (25 C),Y
