,aqi,arithmetic_mean,cbsa,cbsa_code,city,county,county_code,date_local,date_of_last_change,datum,event_type,first_max_hour,first_max_value,latitude,local_site_name,longitude,method,method_code,observation_count,observation_percent,parameter,parameter_code,poc,pollutant_standard,sample_duration,site_address,site_number,state,state_code,units_of_measure,validity_indicator
0,25.0,6.1,"Sacramento--Roseville--Arden-Arcade, CA",40900,Arden-Arcade,Sacramento,067,2020-04-21,2020-08-11,WGS84,None,0,6.1,38.613779,Sacramento-Del Paso Manor,-121.368014,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,145,1,100.0,PM2.5 - Local Conditions,88101,2,PM25 24-hour 2006,24 HOUR,"DEL PASO-2701 AVALON DR, SACRAMENTO",0006,California,06,Micrograms/cubic meter (LC),Y
1,12.0,2.8,"Sacramento--Roseville--Arden-Arcade, CA",40900,Arden-Arcade,Sacramento,067,2020-04-09,2020-08-11,WGS84,None,0,2.8,38.613779,Sacramento-Del Paso Manor,-121.368014,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,145,1,100.0,PM2.5 - Local Conditions,88101,2,PM25 24-hour 2006,24 HOUR,"DEL PASO-2701 AVALON DR, SACRAMENTO",0006,California,06,Micrograms/cubic meter (LC),Y
2,35.0,8.5,"Sacramento--Roseville--Arden-Arcade, CA",40900,Arden-Arcade,Sacramento,067,2020-03-28,2020-08-11,WGS84,None,0,8.5,38.613779,Sacramento-Del Paso Manor,-121.368014,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,145,1,100.0,PM2.5 - Local Conditions,88101,2,PM25 24-hour 2006,24 HOUR,"DEL PASO-2701 AVALON DR, SACRAMENTO",0006,California,06,Micrograms/cubic meter (LC),Y
3,9.0,2.1,"Sacramento--Roseville--Arden-Arcade, CA",40900,Arden-Arcade,Sacramento,067,2020-03-16,2020-08-11,WGS84,None,0,2.1,38.613779,Sacramento-Del Paso Manor,-121.368014,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,145,1,100.0,PM2.5 - Local Conditions,88101,2,PM25 24-hour 2006,24 HOUR,"DEL PASO-2701 AVALON DR, SACRAMENTO",0006,California,06,Micrograms/cubic meter (LC),Y
4,52.0,12.5,"Sacramento--Roseville--Arden-Arcade, CA",40900,Arden-Arcade,Sacramento,067,2020-03-04,2020-08-11,WGS84,None,0,12.5,38.613779,Sacramento-Del Paso Manor,-121.368014,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,145,1,100.0,PM2.5 - Local Conditions,88101,2,PM25 24-hour 2006,24 HOUR,"DEL PASO-2701 AVALON DR, SACRAMENTO",0006,California,06,Micrograms/cubic meter (LC),Y
5,57.0,15.0,"Sacramento--Roseville--Arden-Arcade, CA",40900,Arden-Arcade,Sacramento,067,2020-02-21,2020-08-11,WGS84,None,0,15.0,38.613779,Sacramento-Del Paso Manor,-121.368014,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,145,1,100.0,PM2.5 - Local Conditions,88101,2,PM25 24-hour 2006,24 HOUR,"DEL PASO-2701 AVALON DR, SACRAMENTO",0006,California,06,Micrograms/cubic meter (LC),Y
6,4.0,1.0,"Sacramento--Roseville--Arden-Arcade, CA",40900,Arden-Arcade,Sacramento,067,2020-02-09,2020-08-11,WGS84,None,0,1.0,38.613779,Sacramento-Del Paso Manor,-121.368014,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,145,1,100.0,PM2.5 - Local Conditions,88101,2,PM25 24-hour 2006,24 HOUR,"DEL PASO-2701 AVALON DR, SACRAMENTO",0006,California,06,Micrograms/cubic meter (LC),Y
7,30.0,7.3,"Sacramento--Roseville--Arden-Arcade, CA",40900,Arden-Arcade,Sacramento,067,2020-01-28,2020-08-11,WGS84,None,0,7.3,38.613779,Sacramento-Del Paso Manor,-121.368014,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,145,1,100.0,PM2.5 - Local Conditions,88101,2,PM25 24-hour 2006,24 HOUR,"DEL PASO-2701 AVALON DR, SACRAMENTO",0006,California,06,Micrograms/cubic meter (LC),Y
8,19.0,4.6,"Sacramento--Roseville--Arden-Arcade, CA",40900,Arden-Arcade,Sacramento,067,2020-01-16,2020-08-11,WGS84,None,0,4.6,38.613779,Sacramento-Del Paso Manor,-121.368014,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,145,1,100.0,PM2.5 - Local Conditions,88101,2,PM25 24-hour 2006,24 HOUR,"DEL PASO-2701 AVALON DR, SACRAMENTO",0006,California,06,Micrograms/cubic meter (LC),Y
9,74.0,23.2,"Sacramento--Roseville--Arden-Arcade, CA",40900,Arden-Arcade,Sacramento,067,2020-01-04,2020-08-11,WGS84,None,0,23.2,38.613779,Sacramento-Del Paso Manor,-121.368014,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,145,1,100.0,PM2.5 - Local Conditions,88101,2,PM25 24-hour 2006,24 HOUR,"DEL PASO-2701 AVALON DR, SACRAMENTO",0006,California,06,Micrograms/cubic meter (LC),Y
