,aqi,arithmetic_mean,cbsa,cbsa_code,city,county,county_code,date_local,date_of_last_change,datum,event_type,first_max_hour,first_max_value,latitude,local_site_name,longitude,method,method_code,observation_count,observation_percent,parameter,parameter_code,poc,pollutant_standard,sample_duration,site_address,site_number,state,state_code,units_of_measure,validity_indicator
0,,0.036043,"Sacramento--Roseville--Arden-Arcade, CA",40900,Sacramento,Sacramento,067,2020-05-01,2020-08-25,NAD83,None,15,0.058,38.56844,Sacramento-1309 T Street,-121.49311,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,087,23,96.0,Ozone,44201,1,Ozone 1-hour 1979,1 HOUR,"1309 T ST., SACRAMENTO, CA. 95814",0010,California,06,Parts per million,Y
1,44.0,0.033583,"Sacramento--Roseville--Arden-Arcade, CA",40900,Sacramento,Sacramento,067,2020-05-01,2020-08-25,NAD83,None,9,0.048,38.56844,Sacramento-1309 T Street,-121.49311,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,087,24,100.0,Ozone,44201,1,Ozone 8-Hour 1997,8-HR RUN AVG BEGIN HOUR,"1309 T ST., SACRAMENTO, CA. 95814",0010,California,06,Parts per million,Y
2,44.0,0.033583,"Sacramento--Roseville--Arden-Arcade, CA",40900,Sacramento,Sacramento,067,2020-05-01,2020-08-25,NAD83,None,9,0.048,38.56844,Sacramento-1309 T Street,-121.49311,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,087,24,100.0,Ozone,44201,1,Ozone 8-Hour 2008,8-HR RUN AVG BEGIN HOUR,"1309 T ST., SACRAMENTO, CA. 95814",0010,California,06,Parts per million,Y
3,44.0,0.034353,"Sacramento--Roseville--Arden-Arcade, CA",40900,Sacramento,Sacramento,067,2020-05-01,2020-08-25,NAD83,None,9,0.048,38.56844,Sacramento-1309 T Street,-121.49311,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,087,17,100.0,Ozone,44201,1,Ozone 8-hour 2015,8-HR RUN AVG BEGIN HOUR,"1309 T ST., SACRAMENTO, CA. 95814",0010,California,06,Parts per million,Y
4,,0.023391,"Sacramento--Roseville--Arden-Arcade, CA",40900,Sacramento,Sacramento,067,2020-05-02,2020-08-25,NAD83,None,17,0.029,38.56844,Sacramento-1309 T Street,-121.49311,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,087,23,96.0,Ozone,44201,1,Ozone 1-hour 1979,1 HOUR,"1309 T ST., SACRAMENTO, CA. 95814",0010,California,06,Parts per million,Y
5,25.0,0.023,"Sacramento--Roseville--Arden-Arcade, CA",40900,Sacramento,Sacramento,067,2020-05-02,2020-08-25,NAD83,None,9,0.027,38.56844,Sacramento-1309 T Street,-121.49311,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,087,24,100.0,Ozone,44201,1,Ozone 8-Hour 1997,8-HR RUN AVG BEGIN HOUR,"1309 T ST., SACRAMENTO, CA. 95814",0010,California,06,Parts per million,Y
6,25.0,0.023,"Sacramento--Roseville--Arden-Arcade, CA",40900,Sacramento,Sacramento,067,2020-05-02,2020-08-25,NAD83,None,9,0.027,38.56844,Sacramento-1309 T Street,-121.49311,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,087,24,100.0,Ozone,44201,1,Ozone 8-Hour 2008,8-HR RUN AVG BEGIN HOUR,"1309 T ST., SACRAMENTO, CA. 95814",0010,California,06,Parts per million,Y
7,25.0,0.024412,"Sacramento--Roseville--Arden-Arcade, CA",40900,Sacramento,Sacramento,067,2020-05-02,2020-08-25,NAD83,None,9,0.027,38.56844,Sacramento-1309 T Street,-121.49311,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,087,17,100.0,Ozone,44201,1,Ozone 8-hour 2015,8-HR RUN AVG BEGIN HOUR,"1309 T ST., SACRAMENTO, CA. 95814",0010,California,06,Parts per million,Y
8,,0.033333,"Sacramento--Roseville--Arden-Arcade, CA",40900,Sacramento,Sacramento,067,2020-05-03,2020-08-25,NAD83,None,15,0.052,38.56844,Sacramento-1309 T Street,-121.49311,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,087,21,88.0,Ozone,44201,1,Ozone 1-hour 1979,1 HOUR,"1309 T ST., SACRAMENTO, CA. 95814",0010,California,06,Parts per million,Y
9,43.0,0.033583,"Sacramento--Roseville--Arden-Arcade, CA",40900,Sacramento,Sacramento,067,2020-05-03,2020-08-25,NAD83,None,11,0.046,38.56844,Sacramento-1309 T Street,-121.49311,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,087,24,100.0,Ozone,44201,1,Ozone 8-Hour 1997,8-HR RUN AVG BEGIN HOUR,"1309 T ST., SACRAMENTO, CA. 95814",0010,California,06,Parts per million,Y
