,aqi,arithmetic_mean,cbsa,cbsa_code,city,county,county_code,date_local,date_of_last_change,datum,event_type,first_max_hour,first_max_value,latitude,local_site_name,longitude,method,method_code,observation_count,observation_percent,parameter,parameter_code,poc,pollutant_standard,sample_duration,site_address,site_number,state,state_code,units_of_measure,validity_indicator
0,8,5.117647,"Oxnard-Thousand Oaks-Ventura, CA",37100,Not in a city,Ventura,111,2020-05-01,2020-08-14,NAD83,None,5,8.0,34.25239,El Rio-Rio Mesa School #2,-119.143182,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,099,17,71.0,Nitrogen dioxide (NO2),42602,1,NO2 Annual 1971,1 HOUR,"545 CENTRAL AVENUE, OXNARD, CA  93030",3001,California,06,Parts per billion,N
1,8,5.117647,"Oxnard-Thousand Oaks-Ventura, CA",37100,Not in a city,Ventura,111,2020-05-01,2020-08-14,NAD83,None,5,8.0,34.25239,El Rio-Rio Mesa School #2,-119.143182,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,099,17,71.0,Nitrogen dioxide (NO2),42602,1,NO2 1-hour,1 HOUR,"545 CENTRAL AVENUE, OXNARD, CA  93030",3001,California,06,Parts per billion,N
2,8,3.304348,"Oxnard-Thousand Oaks-Ventura, CA",37100,Not in a city,Ventura,111,2020-05-02,2020-08-14,NAD83,None,6,8.0,34.25239,El Rio-Rio Mesa School #2,-119.143182,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,099,23,96.0,Nitrogen dioxide (NO2),42602,1,NO2 Annual 1971,1 HOUR,"545 CENTRAL AVENUE, OXNARD, CA  93030",3001,California,06,Parts per billion,Y
3,8,3.304348,"Oxnard-Thousand Oaks-Ventura, CA",37100,Not in a city,Ventura,111,2020-05-02,2020-08-14,NAD83,None,6,8.0,34.25239,El Rio-Rio Mesa School #2,-119.143182,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,099,23,96.0,Nitrogen dioxide (NO2),42602,1,NO2 1-hour,1 HOUR,"545 CENTRAL AVENUE, OXNARD, CA  93030",3001,California,06,Parts per billion,Y
4,4,2.0,"Oxnard-Thousand Oaks-Ventura, CA",37100,Not in a city,Ventura,111,2020-05-03,2020-08-14,NAD83,None,4,4.0,34.25239,El Rio-Rio Mesa School #2,-119.143182,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,099,23,96.0,Nitrogen dioxide (NO2),42602,1,NO2 Annual 1971,1 HOUR,"545 CENTRAL AVENUE, OXNARD, CA  93030",3001,California,06,Parts per billion,Y
5,4,2.0,"Oxnard-Thousand Oaks-Ventura, CA",37100,Not in a city,Ventura,111,2020-05-03,2020-08-14,NAD83,None,4,4.0,34.25239,El Rio-Rio Mesa School #2,-119.143182,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,099,23,96.0,Nitrogen dioxide (NO2),42602,1,NO2 1-hour,1 HOUR,"545 CENTRAL AVENUE, OXNARD, CA  93030",3001,California,06,Parts per billion,Y
6,10,4.26087,"Oxnard-Thousand Oaks-Ventura, CA",37100,Not in a city,Ventura,111,2020-05-04,2020-08-14,NAD83,None,22,11.0,34.25239,El Rio-Rio Mesa School #2,-119.143182,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,099,23,96.0,Nitrogen dioxide (NO2),42602,1,NO2 Annual 1971,1 HOUR,"545 CENTRAL AVENUE, OXNARD, CA  93030",3001,California,06,Parts per billion,Y
7,10,4.26087,"Oxnard-Thousand Oaks-Ventura, CA",37100,Not in a city,Ventura,111,2020-05-04,2020-08-14,NAD83,None,22,11.0,34.25239,El Rio-Rio Mesa School #2,-119.143182,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,099,23,96.0,Nitrogen dioxide (NO2),42602,1,NO2 1-hour,1 HOUR,"545 CENTRAL AVENUE, OXNARD, CA  93030",3001,California,06,Parts per billion,Y
8,11,5.913043,"Oxnard-Thousand Oaks-Ventura, CA",37100,Not in a city,Ventura,111,2020-05-05,2020-08-14,NAD83,None,5,12.0,34.25239,El Rio-Rio Mesa School #2,-119.143182,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,099,23,96.0,Nitrogen dioxide (NO2),42602,1,NO2 Annual 1971,1 HOUR,"545 CENTRAL AVENUE, OXNARD, CA  93030",3001,California,06,Parts per billion,Y
9,11,5.913043,"Oxnard-Thousand Oaks-Ventura, CA",37100,Not in a city,Ventura,111,2020-05-05,2020-08-14,NAD83,None,5,12.0,34.25239,El Rio-Rio Mesa School #2,-119.143182,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,099,23,96.0,Nitrogen dioxide (NO2),42602,1,NO2 1-hour,1 HOUR,"545 CENTRAL AVENUE, OXNARD, CA  93030",3001,California,06,Parts per billion,Y
10,17,6.913043,"Oxnard-Thousand Oaks-Ventura, CA",37100,Not in a city,Ventura,111,2020-05-06,2020-08-14,NAD83,None,5,18.0,34.25239,El Rio-Rio Mesa School #2,-119.143182,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,099,23,96.0,Nitrogen dioxide (NO2),42602,1,NO2 Annual 1971,1 HOUR,"545 CENTRAL AVENUE, OXNARD, CA  93030",3001,California,06,Parts per billion,Y
11,17,6.913043,"Oxnard-Thousand Oaks-Ventura, CA",37100,Not in a city,Ventura,111,2020-05-06,2020-08-14,NAD83,None,5,18.0,34.25239,El Rio-Rio Mesa School #2,-119.143182,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,099,23,96.0,Nitrogen dioxide (NO2),42602,1,NO2 1-hour,1 HOUR,"545 CENTRAL AVENUE, OXNARD, CA  93030",3001,California,06,Parts per billion,Y
12,11,6.565217,"Oxnard-Thousand Oaks-Ventura, CA",37100,Not in a city,Ventura,111,2020-05-07,2020-08-14,NAD83,None,5,12.0,34.25239,El Rio-Rio Mesa School #2,-119.143182,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,099,23,96.0,Nitrogen dioxide (NO2),42602,1,NO2 Annual 1971,1 HOUR,"545 CENTRAL AVENUE, OXNARD, CA  93030",3001,California,06,Parts per billion,Y
13,11,6.565217,"Oxnard-Thousand Oaks-Ventura, CA",37100,Not in a city,Ventura,111,2020-05-07,2020-08-14,NAD83,None,5,12.0,34.25239,El Rio-Rio Mesa School #2,-119.143182,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,099,23,96.0,Nitrogen dioxide (NO2),42602,1,NO2 1-hour,1 HOUR,"545 CENTRAL AVENUE, OXNARD, CA  93030",3001,California,06,Parts per billion,Y
14,13,5.714286,"Oxnard-Thousand Oaks-Ventura, CA",37100,Not in a city,Ventura,111,2020-05-08,2020-08-14,NAD83,None,4,14.0,34.25239,El Rio-Rio Mesa School #2,-119.143182,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,099,21,88.0,Nitrogen dioxide (NO2),42602,1,NO2 Annual 1971,1 HOUR,"545 CENTRAL AVENUE, OXNARD, CA  93030",3001,California,06,Parts per billion,Y
15,13,5.714286,"Oxnard-Thousand Oaks-Ventura, CA",37100,Not in a city,Ventura,111,2020-05-08,2020-08-14,NAD83,None,4,14.0,34.25239,El Rio-Rio Mesa School #2,-119.143182,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,099,21,88.0,Nitrogen dioxide (NO2),42602,1,NO2 1-hour,1 HOUR,"545 CENTRAL AVENUE, OXNARD, CA  93030",3001,California,06,Parts per billion,Y
16,6,2.086957,"Oxnard-Thousand Oaks-Ventura, CA",37100,Not in a city,Ventura,111,2020-05-09,2020-08-14,NAD83,None,8,6.0,34.25239,El Rio-Rio Mesa School #2,-119.143182,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,099,23,96.0,Nitrogen dioxide (NO2),42602,1,NO2 Annual 1971,1 HOUR,"545 CENTRAL AVENUE, OXNARD, CA  93030",3001,California,06,Parts per billion,Y
17,6,2.086957,"Oxnard-Thousand Oaks-Ventura, CA",37100,Not in a city,Ventura,111,2020-05-09,2020-08-14,NAD83,None,8,6.0,34.25239,El Rio-Rio Mesa School #2,-119.143182,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,099,23,96.0,Nitrogen dioxide (NO2),42602,1,NO2 1-hour,1 HOUR,"545 CENTRAL AVENUE, OXNARD, CA  93030",3001,California,06,Parts per billion,Y
18,3,1.130435,"Oxnard-Thousand Oaks-Ventura, CA",37100,Not in a city,Ventura,111,2020-05-10,2020-08-14,NAD83,None,12,3.0,34.25239,El Rio-Rio Mesa School #2,-119.143182,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,099,23,96.0,Nitrogen dioxide (NO2),42602,1,NO2 Annual 1971,1 HOUR,"545 CENTRAL AVENUE, OXNARD, CA  93030",3001,California,06,Parts per billion,Y
19,3,1.130435,"Oxnard-Thousand Oaks-Ventura, CA",37100,Not in a city,Ventura,111,2020-05-10,2020-08-14,NAD83,None,12,3.0,34.25239,El Rio-Rio Mesa School #2,-119.143182,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,099,23,96.0,Nitrogen dioxide (NO2),42602,1,NO2 1-hour,1 HOUR,"545 CENTRAL AVENUE, OXNARD, CA  93030",3001,California,06,Parts per billion,Y
20,7,1.869565,"Oxnard-Thousand Oaks-Ventura, CA",37100,Not in a city,Ventura,111,2020-05-11,2020-08-14,NAD83,None,5,7.0,34.25239,El Rio-Rio Mesa School #2,-119.143182,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,099,23,96.0,Nitrogen dioxide (NO2),42602,1,NO2 Annual 1971,1 HOUR,"545 CENTRAL AVENUE, OXNARD, CA  93030",3001,California,06,Parts per billion,Y
21,7,1.869565,"Oxnard-Thousand Oaks-Ventura, CA",37100,Not in a city,Ventura,111,2020-05-11,2020-08-14,NAD83,None,5,7.0,34.25239,El Rio-Rio Mesa School #2,-119.143182,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,099,23,96.0,Nitrogen dioxide (NO2),42602,1,NO2 1-hour,1 HOUR,"545 CENTRAL AVENUE, OXNARD, CA  93030",3001,California,06,Parts per billion,Y
22,9,3.391304,"Oxnard-Thousand Oaks-Ventura, CA",37100,Not in a city,Ventura,111,2020-05-12,2020-08-14,NAD83,None,5,10.0,34.25239,El Rio-Rio Mesa School #2,-119.143182,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,099,23,96.0,Nitrogen dioxide (NO2),42602,1,NO2 Annual 1971,1 HOUR,"545 CENTRAL AVENUE, OXNARD, CA  93030",3001,California,06,Parts per billion,Y
23,9,3.391304,"Oxnard-Thousand Oaks-Ventura, CA",37100,Not in a city,Ventura,111,2020-05-12,2020-08-14,NAD83,None,5,10.0,34.25239,El Rio-Rio Mesa School #2,-119.143182,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,099,23,96.0,Nitrogen dioxide (NO2),42602,1,NO2 1-hour,1 HOUR,"545 CENTRAL AVENUE, OXNARD, CA  93030",3001,California,06,Parts per billion,Y
24,9,3.086957,"Oxnard-Thousand Oaks-Ventura, CA",37100,Not in a city,Ventura,111,2020-05-13,2020-08-14,NAD83,None,5,10.0,34.25239,El Rio-Rio Mesa School #2,-119.143182,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,099,23,96.0,Nitrogen dioxide (NO2),42602,1,NO2 Annual 1971,1 HOUR,"545 CENTRAL AVENUE, OXNARD, CA  93030",3001,California,06,Parts per billion,Y
25,9,3.086957,"Oxnard-Thousand Oaks-Ventura, CA",37100,Not in a city,Ventura,111,2020-05-13,2020-08-14,NAD83,None,5,10.0,34.25239,El Rio-Rio Mesa School #2,-119.143182,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,099,23,96.0,Nitrogen dioxide (NO2),42602,1,NO2 1-hour,1 HOUR,"545 CENTRAL AVENUE, OXNARD, CA  93030",3001,California,06,Parts per billion,Y
26,7,3.347826,"Oxnard-Thousand Oaks-Ventura, CA",37100,Not in a city,Ventura,111,2020-05-14,2020-08-14,NAD83,None,5,7.0,34.25239,El Rio-Rio Mesa School #2,-119.143182,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,099,23,96.0,Nitrogen dioxide (NO2),42602,1,NO2 Annual 1971,1 HOUR,"545 CENTRAL AVENUE, OXNARD, CA  93030",3001,California,06,Parts per billion,Y
27,7,3.347826,"Oxnard-Thousand Oaks-Ventura, CA",37100,Not in a city,Ventura,111,2020-05-14,2020-08-14,NAD83,None,5,7.0,34.25239,El Rio-Rio Mesa School #2,-119.143182,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,099,23,96.0,Nitrogen dioxide (NO2),42602,1,NO2 1-hour,1 HOUR,"545 CENTRAL AVENUE, OXNARD, CA  93030",3001,California,06,Parts per billion,Y
28,8,3.826087,"Oxnard-Thousand Oaks-Ventura, CA",37100,Not in a city,Ventura,111,2020-05-15,2020-08-14,NAD83,None,3,8.0,34.25239,El Rio-Rio Mesa School #2,-119.143182,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,099,23,96.0,Nitrogen dioxide (NO2),42602,1,NO2 Annual 1971,1 HOUR,"545 CENTRAL AVENUE, OXNARD, CA  93030",3001,California,06,Parts per billion,Y
29,8,3.826087,"Oxnard-Thousand Oaks-Ventura, CA",37100,Not in a city,Ventura,111,2020-05-15,2020-08-14,NAD83,None,3,8.0,34.25239,El Rio-Rio Mesa School #2,-119.143182,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,099,23,96.0,Nitrogen dioxide (NO2),42602,1,NO2 1-hour,1 HOUR,"545 CENTRAL AVENUE, OXNARD, CA  93030",3001,California,06,Parts per billion,Y
30,7,3.043478,"Oxnard-Thousand Oaks-Ventura, CA",37100,Not in a city,Ventura,111,2020-05-16,2020-08-14,NAD83,None,4,7.0,34.25239,El Rio-Rio Mesa School #2,-119.143182,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,099,23,96.0,Nitrogen dioxide (NO2),42602,1,NO2 Annual 1971,1 HOUR,"545 CENTRAL AVENUE, OXNARD, CA  93030",3001,California,06,Parts per billion,Y
31,7,3.043478,"Oxnard-Thousand Oaks-Ventura, CA",37100,Not in a city,Ventura,111,2020-05-16,2020-08-14,NAD83,None,4,7.0,34.25239,El Rio-Rio Mesa School #2,-119.143182,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,099,23,96.0,Nitrogen dioxide (NO2),42602,1,NO2 1-hour,1 HOUR,"545 CENTRAL AVENUE, OXNARD, CA  93030",3001,California,06,Parts per billion,Y
32,4,1.130435,"Oxnard-Thousand Oaks-Ventura, CA",37100,Not in a city,Ventura,111,2020-05-17,2020-08-14,NAD83,None,3,4.0,34.25239,El Rio-Rio Mesa School #2,-119.143182,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,099,23,96.0,Nitrogen dioxide (NO2),42602,1,NO2 Annual 1971,1 HOUR,"545 CENTRAL AVENUE, OXNARD, CA  93030",3001,California,06,Parts per billion,Y
33,4,1.130435,"Oxnard-Thousand Oaks-Ventura, CA",37100,Not in a city,Ventura,111,2020-05-17,2020-08-14,NAD83,None,3,4.0,34.25239,El Rio-Rio Mesa School #2,-119.143182,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,099,23,96.0,Nitrogen dioxide (NO2),42602,1,NO2 1-hour,1 HOUR,"545 CENTRAL AVENUE, OXNARD, CA  93030",3001,California,06,Parts per billion,Y
34,5,1.434783,"Oxnard-Thousand Oaks-Ventura, CA",37100,Not in a city,Ventura,111,2020-05-18,2020-08-14,NAD83,None,23,5.0,34.25239,El Rio-Rio Mesa School #2,-119.143182,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,099,23,96.0,Nitrogen dioxide (NO2),42602,1,NO2 Annual 1971,1 HOUR,"545 CENTRAL AVENUE, OXNARD, CA  93030",3001,California,06,Parts per billion,Y
35,5,1.434783,"Oxnard-Thousand Oaks-Ventura, CA",37100,Not in a city,Ventura,111,2020-05-18,2020-08-14,NAD83,None,23,5.0,34.25239,El Rio-Rio Mesa School #2,-119.143182,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,099,23,96.0,Nitrogen dioxide (NO2),42602,1,NO2 1-hour,1 HOUR,"545 CENTRAL AVENUE, OXNARD, CA  93030",3001,California,06,Parts per billion,Y
36,8,3.26087,"Oxnard-Thousand Oaks-Ventura, CA",37100,Not in a city,Ventura,111,2020-05-19,2020-08-14,NAD83,None,5,9.0,34.25239,El Rio-Rio Mesa School #2,-119.143182,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,099,23,96.0,Nitrogen dioxide (NO2),42602,1,NO2 Annual 1971,1 HOUR,"545 CENTRAL AVENUE, OXNARD, CA  93030",3001,California,06,Parts per billion,Y
37,8,3.26087,"Oxnard-Thousand Oaks-Ventura, CA",37100,Not in a city,Ventura,111,2020-05-19,2020-08-14,NAD83,None,5,9.0,34.25239,El Rio-Rio Mesa School #2,-119.143182,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,099,23,96.0,Nitrogen dioxide (NO2),42602,1,NO2 1-hour,1 HOUR,"545 CENTRAL AVENUE, OXNARD, CA  93030",3001,California,06,Parts per billion,Y
