county,Date,mean_NO2_ppb,aqi,boxcox_mean_NO2_ppb,boxcox_aqi,mean_Ozone_ppm,mean_PM10_µg_m3_25C,boxcox_mean_PM10_µg_m3_25C,mean_PM2_5_µg_m3_LC,boxcox_mean_PM2_5_µg_m3_LC,parks_percent_change_from_baseline,Death,Infected,I_diff,D_diff
Sacramento,2020-01-01,8.80199275,14.75,2.282585706842112,3.968565207460511,0.011902449999999998,25.416666499999998,8.279429264312295,,,,,,,
Sacramento,2020-01-02,10.140942250000002,20.75,2.4106268135075113,4.638230861971131,0.0119902,19.145833500000002,6.976822043462821,15.554629666666667,2.4471988106544913,,,,,
Sacramento,2020-01-03,12.27462125,20.25,2.5858540356475372,4.588152051421954,,30.4375,9.213830746002902,,,,,,,
Sacramento,2020-01-04,9.71105075,18.25,2.371275988890958,4.378527024431978,0.0136264,20.2666666,7.223159241821644,,,,,,,
Sacramento,2020-01-05,8.119927500000001,16.0,2.210461854493239,4.122172739475722,0.016907450000000004,12.055555666666669,5.226494493643974,10.67407411111111,2.178721412118243,,,,,
Sacramento,2020-01-06,9.381340749999998,16.75,2.3400100360631133,4.210310480451447,0.011554150000000001,13.083333500000002,5.505553543876695,11.10740744444444,2.207175706368303,,,,,
Sacramento,2020-01-07,10.072925000000001,14.0,2.4045029394608464,3.8719586850617214,,21.2391305,7.43167652117056,,,,,,,
Sacramento,2020-01-08,9.173402750000001,15.25,2.319776741119363,4.031068545740871,0.0146627,15.260869500000002,6.0649536886457085,12.308333333333332,2.2805273474312484,,,,,
Sacramento,2020-01-09,7.68903175,17.25,2.162061511895738,4.26752864903051,0.018704049999999996,9.0416665,4.337717728015346,8.07592588888889,1.979325241087921,,,,,
Sacramento,2020-01-10,8.189221,13.5,2.2180311667246966,3.805522714521512,0.016320800000000003,10.520833333333334,4.788470618138767,8.564705882352941,2.021287100302042,,,,,
Sacramento,2020-01-11,7.587137500000001,21.0,2.150265444139299,4.662947082671975,0.0190015,13.458333500000002,5.604823074865057,12.275925888888887,2.278645038037902,,,,,
Sacramento,2020-01-12,7.43806825,15.0,2.1327534020790115,4.0,0.018404949999999996,13.4375,5.599342076785331,8.721296333333335,2.0342333166291,,,,,
Sacramento,2020-01-13,6.03260875,14.75,1.9505577251798354,3.968565207460511,0.0271603,8.4791665,4.1576510131705255,3.8132352941176464,1.4541298286569966,,,,,
Sacramento,2020-01-14,6.969021750000001,16.0,2.0755617437380254,4.122172739475722,0.02457055,9.0208335,4.3311400237240045,4.456481444444446,1.5606551836434506,,,,,
Sacramento,2020-01-15,10.166666500000002,16.75,2.412933135237538,4.210310480451447,0.019138350000000002,14.208333500000002,5.799572680602445,7.2250000000000005,1.8999740665893616,,,,,
Sacramento,2020-01-16,5.1070405,8.75,1.8094422859530834,3.068237686098791,0.028636700000000005,6.798611166666667,3.5851987132658643,4.29682538095238,1.535556032587102,,,,,
Sacramento,2020-01-17,7.269837000000001,11.75,2.1126147990469217,3.5585334178227193,0.01694375,7.2291665,3.7373047679202127,4.379629666666666,1.548675798459383,,,,,
Sacramento,2020-01-18,8.628351499999999,17.75,2.2647120273557917,4.323582900575634,0.013803200000000002,9.2708335,4.409628226348234,8.32685188888889,2.001169535825954,,,,,
Sacramento,2020-01-19,7.169384,15.5,2.1003935082325373,4.061780649278898,,16.229166499999998,6.301606230121976,14.976960764705884,2.420325022604326,,,,,
Sacramento,2020-01-20,10.12389675,13.75,2.409095654595453,3.8389518421118565,,23.375,7.874208829065751,,,,,,,
Sacramento,2020-01-21,7.050634,11.0,2.0857508460932173,3.4448388728167965,0.020490050000000003,17.333333500000002,6.563488424701701,8.530434777777778,2.0184226157269713,,,,,
Sacramento,2020-01-22,9.58242775,23.75,2.3591948660803985,4.921826885146876,0.018298649999999996,8.840277833333333,4.273843425949784,5.4465686470588235,1.7002093355033159,,0.0,0.0,0.0,0.0
Sacramento,2020-01-23,12.775181,16.0,2.622868494698569,4.122172739475722,,16.1875,6.2915619758885,10.863888888888887,2.1913259847862263,,0.0,0.0,0.0,0.0
Sacramento,2020-01-24,9.528944249999999,13.5,2.3541280599608037,3.805522714521512,,17.458333500000002,6.592632541893085,11.15925922222222,2.21050526197702,,0.0,0.0,0.0,0.0
Sacramento,2020-01-25,6.4992754999999995,10.25,2.0148064158761843,3.325683002969413,0.014681149999999999,23.25,7.848857801796104,,,,0.0,0.0,0.0,0.0
Sacramento,2020-01-26,3.801087,9.5,1.5688423506093607,3.200411487357016,0.024912700000000003,10.3958335,4.751543082881128,8.37407411111111,2.005208137854646,,0.0,0.0,0.0,0.0
Sacramento,2020-01-27,6.969746250000001,13.5,2.075652654152243,3.805522714521512,0.0225033,12.2708335,5.285831043882365,3.8629629999999997,1.4629091430101226,,0.0,0.0,0.0,0.0
Sacramento,2020-01-28,8.29821425,16.75,2.229822365592721,4.210310480451447,0.01960425,13.055555499999999,5.498147904649521,6.3273809523809526,1.8058271114030249,,0.0,0.0,0.0,0.0
Sacramento,2020-01-29,9.79098025,22.0,2.378710623151027,4.759754812379368,0.016843749999999998,12.1458335,5.251436685236934,6.0037036666666665,1.7687228693650936,,0.0,0.0,0.0,0.0
Sacramento,2020-01-30,9.310687249999999,20.0,2.333180954391183,4.56278057171229,0.016020249999999996,20.083333500000002,7.183318245601642,9.863888888888887,2.122263167167949,,0.0,0.0,0.0,0.0
Sacramento,2020-01-31,11.3566205,22.0,2.5141919923127474,4.759754812379368,0.014763099999999996,29.4166665,9.03026137496297,,,,0.0,0.0,0.0,0.0
