,aqi,arithmetic_mean,cbsa,cbsa_code,city,county,county_code,date_local,date_of_last_change,datum,event_type,first_max_hour,first_max_value,latitude,local_site_name,longitude,method,method_code,observation_count,observation_percent,parameter,parameter_code,poc,pollutant_standard,sample_duration,site_address,site_number,state,state_code,units_of_measure,validity_indicator
0,43.0,10.4,"Oxnard-Thousand Oaks-Ventura, CA",37100,Ojai,Ventura,111,2020-07-08,2020-09-15,NAD83,None,0,10.4,34.44806,Ojai - East Ojai Ave,-119.2313,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,170,1,100.0,PM2.5 - Local Conditions,88101,3,PM25 24-hour 2006,24-HR BLK AVG,"1201 E. OJAI AVENUE, OJAI, CA  93023",1004,California,06,Micrograms/cubic meter (LC),Y
1,46.0,11.0,"Oxnard-Thousand Oaks-Ventura, CA",37100,Ojai,Ventura,111,2020-07-07,2020-09-15,NAD83,None,0,11.0,34.44806,Ojai - East Ojai Ave,-119.2313,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,170,1,100.0,PM2.5 - Local Conditions,88101,3,PM25 24-hour 2006,24-HR BLK AVG,"1201 E. OJAI AVENUE, OJAI, CA  93023",1004,California,06,Micrograms/cubic meter (LC),Y
2,51.0,12.3,"Oxnard-Thousand Oaks-Ventura, CA",37100,Ojai,Ventura,111,2020-07-06,2020-09-15,NAD83,None,0,12.3,34.44806,Ojai - East Ojai Ave,-119.2313,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,170,1,100.0,PM2.5 - Local Conditions,88101,3,PM25 24-hour 2006,24-HR BLK AVG,"1201 E. OJAI AVENUE, OJAI, CA  93023",1004,California,06,Micrograms/cubic meter (LC),Y
3,48.0,11.4,"Oxnard-Thousand Oaks-Ventura, CA",37100,Ojai,Ventura,111,2020-07-05,2020-09-15,NAD83,None,0,11.4,34.44806,Ojai - East Ojai Ave,-119.2313,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,170,1,100.0,PM2.5 - Local Conditions,88101,3,PM25 24-hour 2006,24-HR BLK AVG,"1201 E. OJAI AVENUE, OJAI, CA  93023",1004,California,06,Micrograms/cubic meter (LC),Y
4,24.0,5.8,"Oxnard-Thousand Oaks-Ventura, CA",37100,Ojai,Ventura,111,2020-07-04,2020-09-15,NAD83,None,0,5.8,34.44806,Ojai - East Ojai Ave,-119.2313,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,170,1,100.0,PM2.5 - Local Conditions,88101,3,PM25 24-hour 2006,24-HR BLK AVG,"1201 E. OJAI AVENUE, OJAI, CA  93023",1004,California,06,Micrograms/cubic meter (LC),Y
5,20.0,4.8,"Oxnard-Thousand Oaks-Ventura, CA",37100,Ojai,Ventura,111,2020-07-03,2020-09-15,NAD83,None,0,4.8,34.44806,Ojai - East Ojai Ave,-119.2313,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,170,1,100.0,PM2.5 - Local Conditions,88101,3,PM25 24-hour 2006,24-HR BLK AVG,"1201 E. OJAI AVENUE, OJAI, CA  93023",1004,California,06,Micrograms/cubic meter (LC),Y
6,30.0,7.2,"Oxnard-Thousand Oaks-Ventura, CA",37100,Ojai,Ventura,111,2020-07-02,2020-09-15,NAD83,None,0,7.2,34.44806,Ojai - East Ojai Ave,-119.2313,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,170,1,100.0,PM2.5 - Local Conditions,88101,3,PM25 24-hour 2006,24-HR BLK AVG,"1201 E. OJAI AVENUE, OJAI, CA  93023",1004,California,06,Micrograms/cubic meter (LC),Y
7,32.0,7.7,"Oxnard-Thousand Oaks-Ventura, CA",37100,Ojai,Ventura,111,2020-07-01,2020-09-15,NAD83,None,0,7.7,34.44806,Ojai - East Ojai Ave,-119.2313,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,170,1,100.0,PM2.5 - Local Conditions,88101,3,PM25 24-hour 2006,24-HR BLK AVG,"1201 E. OJAI AVENUE, OJAI, CA  93023",1004,California,06,Micrograms/cubic meter (LC),Y
8,18.0,4.4,"Oxnard-Thousand Oaks-Ventura, CA",37100,Ojai,Ventura,111,2020-06-30,2020-09-15,NAD83,None,0,4.4,34.44806,Ojai - East Ojai Ave,-119.2313,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,170,1,100.0,PM2.5 - Local Conditions,88101,3,PM25 24-hour 2006,24-HR BLK AVG,"1201 E. OJAI AVENUE, OJAI, CA  93023",1004,California,06,Micrograms/cubic meter (LC),Y
9,17.0,4.0,"Oxnard-Thousand Oaks-Ventura, CA",37100,Ojai,Ventura,111,2020-06-29,2020-09-15,NAD83,None,0,4.0,34.44806,Ojai - East Ojai Ave,-119.2313,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,170,1,100.0,PM2.5 - Local Conditions,88101,3,PM25 24-hour 2006,24-HR BLK AVG,"1201 E. OJAI AVENUE, OJAI, CA  93023",1004,California,06,Micrograms/cubic meter (LC),Y
